brand,product_count,review_count,xhs_post_count,pct_products,pct_reviews,pct_xhs_posts,gap_pp,position,small_base_flag,sentence,positive_count,negative_count,neutral_count,unclassified_count,pct_positive,pct_negative,pct_neutral,net_sentiment_pct,sentiment_sentence,xhs_small_base_flag,pct_five_star,pct_one_star,review_sentiment_proxy,platform_divergence_pp,platform_divergence_flag,divergence_sentence
Olens,75,202,279,7.9,3.7,27.1,19.2,overindexed on social vs. shelf,True,"Olens is overindexed on social vs. shelf by 19.2pp (27.1% of voice vs 7.9% of shelf). Based on a smaller base (75 HK products, under 100) — this ratio is more volatile.",200,32,47,0,71.7,11.5,16.8,60.2,"Olens's XHS posts run net positive (+60.2%: 72% positive, 11% negative, 17% neutral). High social voice here is backed by genuinely positive sentiment, not just volume.",False,59.9,14.4,45.5,14.7,False,Olens: XHS net sentiment +60.2% vs. review net sentiment (%5★ − %1★) +45.5% — 14.7pp apart.
CooperVision,86,488,172,9.1,8.9,16.7,7.6,overindexed on social vs. shelf,True,"CooperVision is overindexed on social vs. shelf by 7.6pp (16.7% of voice vs 9.1% of shelf). Based on a smaller base (86 HK products, under 100) — this ratio is more volatile.",80,33,59,0,46.5,19.2,34.3,27.3,"CooperVision's XHS posts run net positive (+27.3%: 47% positive, 19% negative, 34% neutral). Based on a smaller base (172 XHS posts, under 200) — lower-confidence. High social voice here is backed by genuinely positive sentiment, not just volume.",True,69.7,5.9,63.7,-36.4,True,"CooperVision: XHS net sentiment +27.3% vs. review net sentiment (%5★ − %1★) +63.7% — 36.4pp apart. Platform divergence — worth noting these are different moments in the customer journey (XHS often reflects aspirational/pre-purchase sentiment, reviews reflect post-purchase experience), not necessarily a contradiction."
Alcon,132,668,156,13.9,12.2,15.1,1.3,overindexed on social vs. shelf,False,Alcon is overindexed on social vs. shelf by 1.3pp (15.1% of voice vs 13.9% of shelf).,95,31,29,1,60.9,19.9,18.6,41.0,"Alcon's XHS posts run net positive (+41.0%: 61% positive, 20% negative, 19% neutral). Based on a smaller base (156 XHS posts, under 200) — lower-confidence. High social voice here is backed by genuinely positive sentiment, not just volume.",True,69.3,8.8,60.5,-19.5,False,Alcon: XHS net sentiment +41.0% vs. review net sentiment (%5★ − %1★) +60.5% — 19.5pp apart.
Bausch & Lomb,250,1802,152,26.3,32.8,14.8,-11.6,underindexed on social vs. shelf,False,Bausch & Lomb is underindexed on social vs. shelf by 11.6pp (14.8% of voice vs 26.3% of shelf).,78,27,47,0,51.3,17.8,30.9,33.6,"Bausch & Lomb's XHS posts run net positive (+33.6%: 51% positive, 18% negative, 31% neutral). Based on a smaller base (152 XHS posts, under 200) — lower-confidence.",True,69.1,8.2,60.9,-27.4,True,"Bausch & Lomb: XHS net sentiment +33.6% vs. review net sentiment (%5★ − %1★) +60.9% — 27.4pp apart. Platform divergence — worth noting these are different moments in the customer journey (XHS often reflects aspirational/pre-purchase sentiment, reviews reflect post-purchase experience), not necessarily a contradiction."
Acuvue,407,2336,271,42.8,42.5,26.3,-16.5,underindexed on social vs. shelf,False,Acuvue is underindexed on social vs. shelf by 16.5pp (26.3% of voice vs 42.8% of shelf).,184,22,65,0,67.9,8.1,24.0,59.8,"Acuvue's XHS posts run net positive (+59.8%: 68% positive, 8% negative, 24% neutral).",False,72.9,9.2,63.7,-3.9,False,Acuvue: XHS net sentiment +59.8% vs. review net sentiment (%5★ − %1★) +63.7% — 3.9pp apart.
