brand,researched_count,scraped_count,coverage_pct,missing_retailers
Olens,3,1,33.3,Olens Standalone Stores HK; WateryEyes.hk
Alcon,7,2,28.6,Buylens.hk; Lensproxy.hk; Optical 88; WateryEyes.hk; Watsons HK
Acuvue,13,3,23.1,Buylens.hk; Lensproxy.hk; Optical 88; Puyi Optical; SmartBuyGlasses HK; Super-cons.com; USKO Optical; WateryEyes.hk; Watsons HK; eGG Optical Boutique
CooperVision,7,1,14.3,393lens.com; Buylens.hk; Lensproxy.hk; Optical 88; USKO Optical; WateryEyes.hk
Bausch & Lomb,8,1,12.5,393lens.com; Buylens.hk; Lensproxy.hk; Super-cons.com; USKO Optical; WateryEyes.hk; Watsons HK
