brand,review_positive,review_negative,review_neutral,review_total,xhs_post_positive,xhs_post_negative,xhs_post_neutral,xhs_post_total,xhs_comment_positive,xhs_comment_negative,xhs_comment_neutral,xhs_comment_total,lihkg_positive,lihkg_negative,lihkg_neutral,lihkg_total,youtube_comment_positive,youtube_comment_negative,youtube_comment_neutral,youtube_comment_total,pooled_positive,pooled_negative,pooled_neutral,pooled_total,pooled_net_pct,scraped_lean,reputation_positive,reputation_negative,reputation_mixed,reputation_neutral,reputation_total,reputation_lean,agreement,notes
Acuvue,2959,307,106,3372,184,22,65,271,57,31,145,233,3,9,6,18,5,2,6,13,3208,371,328,3907,72.6,positive,1,4,2,2,9,negative,Diverge,"Scraped lean positive (+72.6% net, n=3907) vs. reputation.csv lean negative (pos=1, neg=4, mixed=2, neu=2, n=9)."
Alcon,760,91,64,915,95,31,29,155,21,47,95,163,1,0,6,7,0,0,0,0,877,169,194,1240,57.1,positive,3,0,0,0,3,positive,Match,"Scraped lean positive (+57.1% net, n=1240) vs. reputation.csv lean positive (pos=3, neg=0, mixed=0, neu=0, n=3)."
Bausch & Lomb,2358,289,149,2796,78,27,47,152,73,45,193,311,2,6,1,9,0,0,0,0,2511,367,390,3268,65.6,positive,1,1,2,0,4,mixed,Match,"Scraped lean positive (+65.6% net, n=3268) vs. reputation.csv lean mixed (pos=1, neg=1, mixed=2, neu=0, n=4)."
CooperVision,535,37,18,590,80,33,59,172,28,31,71,130,5,3,7,15,0,0,0,0,648,104,155,907,60.0,positive,4,0,1,0,5,positive,Match,"Scraped lean positive (+60.0% net, n=907) vs. reputation.csv lean positive (pos=4, neg=0, mixed=1, neu=0, n=5)."
Olens,144,41,17,202,200,32,47,279,98,30,145,273,6,5,0,11,110,1,7,118,558,109,216,883,50.8,positive,0,0,0,2,2,neutral,Partial,"Scraped lean positive (+50.8% net, n=883) vs. reputation.csv lean neutral (pos=0, neg=0, mixed=0, neu=2, n=2)."
