month,brand,review_count,avg_rating,xhs_post_count,avg_xhs_sentiment
2026-06,Acuvue,52,4.23,38,0.447
2026-07,Acuvue,5,4.2,0,
2014-08,Alcon,0,,0,
2014-09,Alcon,0,,0,
2014-10,Alcon,0,,0,
2014-11,Alcon,0,,0,
2014-12,Alcon,0,,0,
2015-01,Alcon,0,,0,
2015-02,Alcon,0,,0,
2015-03,Alcon,0,,0,
2015-04,Alcon,0,,0,
2015-05,Alcon,0,,0,
2015-06,Alcon,0,,0,
2015-07,Alcon,0,,0,
2015-08,Alcon,0,,0,
2015-09,Alcon,0,,0,
2015-10,Alcon,0,,0,
2015-11,Alcon,0,,0,
2015-12,Alcon,0,,0,
2016-01,Alcon,0,,0,
2016-02,Alcon,0,,0,
2016-03,Alcon,0,,0,
2016-04,Alcon,0,,0,
2016-05,Alcon,0,,0,
2016-06,Alcon,0,,0,
2016-07,Alcon,0,,0,
2016-08,Alcon,0,,0,
2016-09,Alcon,0,,0,
2016-10,Alcon,0,,0,
2016-11,Alcon,0,,0,
2016-12,Alcon,0,,0,
2017-01,Alcon,0,,0,
2017-02,Alcon,0,,0,
2017-03,Alcon,0,,0,
2017-04,Alcon,0,,0,
2017-05,Alcon,0,,0,
2017-06,Alcon,0,,0,
2017-07,Alcon,0,,0,
2017-08,Alcon,0,,0,
2017-09,Alcon,0,,0,
2017-10,Alcon,0,,0,
2017-11,Alcon,0,,0,
2017-12,Alcon,0,,0,
2018-01,Alcon,0,,0,
2018-02,Alcon,0,,0,
2018-03,Alcon,0,,0,
2018-04,Alcon,0,,0,
2018-05,Alcon,0,,1,1.0
2018-06,Alcon,0,,0,
2018-07,Alcon,0,,0,
2018-08,Alcon,0,,0,
2018-09,Alcon,0,,0,
2018-10,Alcon,0,,0,
2018-11,Alcon,0,,0,
2018-12,Alcon,0,,0,
2019-01,Alcon,0,,0,
2019-02,Alcon,0,,0,
2019-03,Alcon,0,,0,
2019-04,Alcon,0,,0,
2019-05,Alcon,0,,0,
2019-06,Alcon,0,,1,1.0
2019-07,Alcon,0,,0,
2019-08,Alcon,0,,0,
2019-09,Alcon,0,,0,
2019-10,Alcon,0,,0,
2019-11,Alcon,0,,0,
2019-12,Alcon,0,,0,
2020-01,Alcon,0,,0,
2020-02,Alcon,0,,0,
2020-03,Alcon,0,,0,
2020-04,Alcon,0,,0,
2020-05,Alcon,0,,0,
2020-06,Alcon,0,,0,
2020-07,Alcon,0,,0,
2020-08,Alcon,0,,0,
2020-09,Alcon,0,,0,
2020-10,Alcon,0,,0,
2020-11,Alcon,0,,0,
2020-12,Alcon,0,,0,
2021-01,Alcon,0,,1,0.0
2021-02,Alcon,0,,0,
2021-03,Alcon,0,,0,
2021-04,Alcon,0,,0,
2021-05,Alcon,0,,0,
2021-06,Alcon,0,,0,
